disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1285,,,,,518798.92,331705.11,182722.6,2023-11-02T00:00:00.000Z,,86350,7cdd0c7b6778518a250f0a2844e7f25adc03d084,2023-11-02T04:02:44.321Z,d35d3ef5-e526-4bef-9198-3620a46d695f
1286,,,,,2083481.55,147935.45,1935546.1,2023-11-02T00:00:00.000Z,,621569,9bc2c4b3f8d8cb3ccb159303e14b87c1cdfa7f47,2023-11-02T04:02:44.321Z,034149a3-5822-4423-b76e-39dbb2232bcf
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-11-02T00:00:00.000Z,,3182052,3921d902809da8cd67d69da6f2c3b41cdffd7d45,2023-11-02T04:02:44.321Z,2ebaaab9-4c2c-45f3-a543-aa3d252d4c98
1288,,,,,7734889.99,727111.27,6928401.83,2023-11-02T00:00:00.000Z,,1359545,88b871a734eba8282ac389ae82079d9a862ae978,2023-11-02T04:02:44.321Z,4a3182df-82c3-49bf-8755-420eb8760626
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-11-02T00:00:00.000Z,,305977,db3279ab91ec50d2ed425f03d28f74907c0e27c6,2023-11-02T04:02:44.321Z,81b137fb-09c1-4c86-af97-00fdb68c54fb
1292,,,,,298105794.06,143602692.89,150485207.39,2023-11-02T00:00:00.000Z,,67665966,e2c4aca5d4b9f8865d61d0ec9dca2ef392b96c56,2023-11-02T04:02:44.321Z,caa883ae-59a6-422b-96d6-6ac016fdc2b9
1293,,,,,19890308.77,8206956.08,11605641.68,2023-11-02T00:00:00.000Z,,4034816,180c5d373ba48554bcea64e5a39e57d8a15a3044,2023-11-02T04:02:44.321Z,6a4a6d2f-d4b0-409a-b430-e1440ead731f
1294,,,,,10347269.34,4079425.04,5840828.95,2023-11-02T00:00:00.000Z,,4277685,c75dcab8e8475af3204f5e35acc7348d23bf174d,2023-11-02T04:02:44.321Z,0b496465-4d84-4082-8058-f56453ff345d
1295,,,,,38703382.74,17818465.28,20285139.28,2023-11-02T00:00:00.000Z,,9436261,f2a0a9e01a5b9f2d53ef9ae41c71d08879c2f1bb,2023-11-02T04:02:44.321Z,87edb71a-b331-4ee5-b6e2-d45bca2840af
1296,,,,,41182922.07,10759369.68,29436671.56,2023-11-02T00:00:00.000Z,,4413443,c1ec1f5a6ccde15640ac7561629ad8c343c3f9ae,2023-11-02T04:02:44.321Z,3d8f2704-c1d8-47a7-95bb-d12936af9320
1297,,,,,3374929.57,413506.66,2970485.64,2023-11-02T00:00:00.000Z,,831368,e00e61513558b5bd62c062a754862cee2dbfc6e6,2023-11-02T04:02:44.321Z,92444247-d58a-4e8e-94bc-0488ed14ea44
1299,,,,,20544924.45,13046343.17,7178637.83,2023-11-02T00:00:00.000Z,,6074584,6b3236e48793f45cb169849ec51ae4af3aa3924c,2023-11-02T04:02:44.321Z,d780a8eb-01f2-4c95-831f-a2824c03c9ae
1300,,,,,34309695.49,16704381.41,17070710.07,2023-11-02T00:00:00.000Z,,3599288,361813baa3185c18da9d831186f5b04f0741a9e4,2023-11-02T04:02:44.321Z,fa92713e-abef-4dc0-bc4b-953a37b1fc31
1301,,,,,1968329.67,18254.17,1953360.86,2023-11-02T00:00:00.000Z,,7803,e6dbce52e69e4a566ae3b2cf1d162841daf74391,2023-11-02T04:02:44.321Z,725f2704-5fa2-46ed-90d1-50f9c99b37ea
1302,,,,,1875868.51,590763.4,1224126.36,2023-11-02T00:00:00.000Z,,107462,ce17f652557cced5a8097d79f708b4e34bc5ea17,2023-11-02T04:02:44.321Z,2c256fa3-f0c1-4b70-95db-7053e9678258
1303,,,,,5462529.93,1195275.68,4267254.25,2023-11-02T00:00:00.000Z,,1061424,5b3d0006e3eaf3f5d91e3fb3045c73d2f7129092,2023-11-02T04:02:44.321Z,546104df-4cbd-4bb5-8500-583cc464c068
1305,,,,,594693.82,73108.21,521585.61,2023-11-02T00:00:00.000Z,,11345,9d754fd65aaa8e247bb59e8ad00ccd86978da28b,2023-11-02T04:02:44.321Z,e4e3a0b3-d2af-4398-827d-d1e942d0eda4
1306,,,,,106261560.28,32644798.12,72246572.61,2023-11-02T00:00:00.000Z,,21423043,86684da0b1eeb434be1acd065cb95f1998a75a07,2023-11-02T04:02:44.321Z,64988d68-e47e-4dd7-8c62-ddc2a663100b
1307,,,,,1010652.61,397663.92,612988.69,2023-11-02T00:00:00.000Z,,111961,202f582abab2b1ee068e40163a96d3f7dc105243,2023-11-02T04:02:44.321Z,96254f26-e637-4204-b7e5-b3a4ccdc50ac
1308,,,,,920741.26,21376.49,880889.25,2023-11-02T00:00:00.000Z,,136145,c1eb1138e06ea0099e6180f08112b0049b23ac84,2023-11-02T04:02:44.321Z,eb1e5800-ef1e-4849-8c8d-5e67b4a66130
1309,,,,,4844695.58,1257343.05,1891051.87,2023-11-02T00:00:00.000Z,,1847365,b45b858318c16806dbbc1b4fd289058a71d504a1,2023-11-02T04:02:44.321Z,e762b1c6-03a5-473f-b7ef-c69939f1242f
1310,,,,,4680340.29,1386231.25,3245139.39,2023-11-02T00:00:00.000Z,,250405,944fc913a47fd5f3baa0735e830d975b9a50661a,2023-11-02T04:02:44.321Z,c07a0957-bdc2-4e77-a89a-4bbb1c66d6d4
1311,,,,,36909135.59,26066940.79,10849669.36,2023-11-02T00:00:00.000Z,,5289650,24117d18815d6cd866d52c82a9a2c558f765b208,2023-11-02T04:02:44.321Z,cc4d5dcd-3572-4b8c-8210-aedc72b06bce
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-11-02T00:00:00.000Z,,3453353,70a1d3a80013f36e3a822e45400671f5080478cb,2023-11-02T04:02:44.321Z,11cbcdd9-591b-452a-a983-cbd793c87949
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-11-02T00:00:00.000Z,,1311471,26e5237d0e4d0edbcedd9e2cf1449af1e00967ee,2023-11-02T04:02:44.321Z,dc31b215-9310-42d4-9233-4ef7822f624c
1314,,,,,2605294.29,1170005.58,1430613.75,2023-11-02T00:00:00.000Z,,405517,5d98a279ab48f4e6faa83d85271bdcbcd0ed7a3e,2023-11-02T04:02:44.321Z,50eb02a7-cab9-4b0d-908a-0e6625a50aae
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-11-02T00:00:00.000Z,,662973,0f91b5dd833d21cefd5ab9f99251022d19f51cd3,2023-11-02T04:02:44.321Z,bd05af8f-d23a-4ea5-87b0-b73228fd2127
1316,,,,,10798817.35,6382892.52,4291133.67,2023-11-02T00:00:00.000Z,,1583458,c0c10caef32ccbd0034f202edede7e5c9052ed1e,2023-11-02T04:02:44.321Z,bfe1ea70-4a53-4916-b97d-53cdf9411b23
1317,,,,,3394920.15,1502165.83,1892754.32,2023-11-02T00:00:00.000Z,,438084,596a8578b0fffe51b3140703b17d5be191147a4f,2023-11-02T04:02:44.321Z,80333ce7-37ae-4982-9610-2d62d4d9343b
1318,,,,,13588960.08,13193223.02,451699.92,2023-11-02T00:00:00.000Z,,1454376,2c05bfb3cd3a26d032df4394109a003dc2d99c81,2023-11-02T04:02:44.321Z,e9c37a2d-45bb-4d30-8dc8-2d591b848af7
1319,,,,,5134082.94,329668.71,4780114.36,2023-11-02T00:00:00.000Z,,1289906,bb034e73ae771a9cafcf9ac88b92badf71aedeab,2023-11-02T04:02:44.321Z,223631ff-bb7c-46b4-9cfd-649a8a67ce51
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-11-02T00:00:00.000Z,,420140,1b319aea7099a01af325d95a3af05117c27136fd,2023-11-02T04:02:44.321Z,cb1f7735-2957-42d2-9309-548b7d6751e6
1323,,,,,3773011.29,2434987.46,1282012.04,2023-11-02T00:00:00.000Z,,556864,582413b157429f3add82b87dff30fe2fb6d88a84,2023-11-02T04:02:44.321Z,24a888e9-24ac-4481-b4e8-8d9ba67f1b16
1324,,,,,10907868.92,10902315.84,-40533.34,2023-11-02T00:00:00.000Z,,1613748,1a56139852d125fd82d21fc8b4713685315186fa,2023-11-02T04:02:44.321Z,544e8a8d-48a9-40b4-82fa-d296725fb153
1325,,,,,1354522.51,1343225.92,,2023-11-02T00:00:00.000Z,,98973,cadaf0802ea58b8f9fbd8f403041618b0dc6a854,2023-11-02T04:02:44.321Z,1734d68d-279a-412a-9825-614753f2195c
1326,,,,,2191132.01,26462.73,2159308.27,2023-11-02T00:00:00.000Z,,333150,d3dd5da4c900efda30dbeec02f04563a210e95ae,2023-11-02T04:02:44.321Z,b8a59c52-cf46-450a-8175-0a7cbe178231
1327,,,,,619592.3,274870.5,335828.76,2023-11-02T00:00:00.000Z,,343409,baae9d3b9a6ac33627cfdbe0cfb4bb01ba09745c,2023-11-02T04:02:44.321Z,8a4fa99a-7026-4d42-9480-a8f1a77f023f
1328,,,,,2551571.28,432319.67,2068700.53,2023-11-02T00:00:00.000Z,,888289,9995ffec74ca50424613b04e7b645d0b826b0427,2023-11-02T04:02:44.321Z,8fa2327c-19e4-41b8-b401-33f97a883fdc
1256,,,,,,,,,,645473,e555ac9f6c81428eda01613f113e9f2a78bac3a3,2023-10-09T02:24:46.659Z,8ae2b8e4-8f33-4be1-827d-8acbfb37cfb6
1329,,,,,5652343.85,1460174.48,4205941.58,2023-11-02T00:00:00.000Z,,1557307,130475d61dcb49cc26c4ed3d159aae477f019648,2023-11-02T04:02:44.321Z,94428845-39cd-4f14-946e-dd39a3c16579
1330,,,,,1779885.95,156784.46,1615308.59,2023-11-02T00:00:00.000Z,,232618,b9dcd6f1adfcece63ac8f886a75fdb8a52f6a30e,2023-11-02T04:02:44.321Z,e207b3bd-50d6-4de7-a31d-edac3a025c48
1331,,,,,3700015.29,1268492.29,2364988.67,2023-11-02T00:00:00.000Z,,449273,c32b87f30227e91fa473a49aafaa8d39f1f0f5f4,2023-11-02T04:02:44.321Z,973c0d7e-a030-4872-af71-918fb1fc5527
1332,,,,,10905227.4,1145655.2,9726224.29,2023-11-02T00:00:00.000Z,,3154896,f319b7712d974126988a01d84675839cb8e6f335,2023-11-02T04:02:44.321Z,396ebbac-5937-45c5-9af7-e8a2e26af523
1333,,,,,11738303.73,3906085.02,7676010.71,2023-11-02T00:00:00.000Z,,4661056,48eb3e81dad18161ae536b1d5a5f4143ae2375e3,2023-11-02T04:02:44.321Z,4c99fd9f-2194-4971-a8ec-20a20944a37f
1334,,,,,39700101.17,3878032.57,35024447.18,2023-11-02T00:00:00.000Z,,9520801,af8e059e405dff5ec5584fb8ca0e023881b01e8c,2023-11-02T04:02:44.321Z,1f0e1acc-4d22-4af2-af32-0f6cc91f8d10
1335,,,,,31020492.12,4053927.92,26379603.98,2023-11-02T00:00:00.000Z,,2766765,081f9ce63c929340cc9ce9fc441dda81f5f5a84d,2023-11-02T04:02:44.321Z,60b8798e-16f6-4e29-ab8d-ee7c0ffefe07
1336,,,,,2474138.67,11080.45,2431124.77,2023-11-02T00:00:00.000Z,,304005,b7dc0d3cd2197f74ca45d2e5d32c51881c05fbb8,2023-11-02T04:02:44.321Z,5c7da5ef-4e4d-43cc-a695-45821105af52
1321,,,,,,,,,,316618,df6801c6e5b9f881d3a53c2d3a22c4230810b14b,2023-03-18T13:22:12.883Z,0d2fd1ca-29c0-4051-8cfe-f94c5d84e50c
1322,,,,,,,,,,305250,00e53ba279f255d17c73e0672b69cc56f0d98c44,2023-03-18T13:22:12.883Z,eebe0137-979a-4510-a840-219d1a52a00c
1337,,,,,4697327.57,2066492.47,2599444.42,2023-11-02T00:00:00.000Z,,782081,e0cbc608eaa37b0b81c81bd6b6cc3ab59d9f77de,2023-11-02T04:02:44.321Z,f1023317-eb9d-40d9-b50a-fea5823fe2ad
1338,,,,,297203.25,294142.3,3060.95,2023-11-02T00:00:00.000Z,,45256,7c7f55c16cc575661b8f9d7c83b4cf553cc42827,2023-11-02T04:02:44.321Z,a0679d35-358a-4703-9eeb-06c3fabd2c1b
1343,,,,,3340810.2,642795.32,2670809.27,2023-11-02T00:00:00.000Z,,346748,3483cf57ccadd4229e8291e11f7451355010c283,2023-11-02T04:02:44.321Z,c1a479ef-f33d-458f-875b-19d8a3a2d99d
1344,,,,,18565928.96,527841.99,17408770.89,2023-11-02T00:00:00.000Z,,1922332,bac45d1e32c378cd6f83fe94446a3a5cc774dd3b,2023-11-02T04:02:44.321Z,31a89179-cad6-4170-a9d3-93da7c716adf
1345,,,,,288481152.48,6632491.52,279844097.69,2023-11-02T00:00:00.000Z,,76656943,726dec5457b4032cdfb50f52a6f274e7902c9870,2023-11-02T04:02:44.321Z,939ce1d9-6b4f-4ccb-9692-7015ec0b7d33
1347,,,,,5616578.93,1514282.42,3706650.48,2023-11-02T00:00:00.000Z,,1343739,2a7753015d46d51a6e269be0440678f8c72a564b,2023-11-02T04:02:44.321Z,5dd24f2f-3c1d-49ce-9f5d-9ea77427ac15
1348,,,,,4128414.91,564631.82,3220924.98,2023-11-02T00:00:00.000Z,,1154842,051e507f5e1193ffc00218e8e647cac934d78305,2023-11-02T04:02:44.321Z,640cff15-c847-4880-bedd-5b27603ae373
1349,,,,,2838615.94,94167.46,2564548.23,2023-11-02T00:00:00.000Z,,538400,8fbe0052d45132608c3862fa65f5ed9873db35c0,2023-11-02T04:02:44.321Z,9edb2163-f6e4-41b3-b278-da0ddf2fb68d
1350,,,,,2127262.15,22787.43,2097786.27,2023-11-02T00:00:00.000Z,,300092,0b4cf3d05fc9a0883a9eddd9f1e2c9937513c366,2023-11-02T04:02:44.321Z,af6657f5-03e2-40d1-87b3-d628bc935644
1351,,,,,682634.87,4604.47,686029.24,2023-11-02T00:00:00.000Z,,98588,63268ca8b70949ada216c1860c052ede846d1a4a,2023-11-02T04:02:44.321Z,000427c5-5a7a-41fc-9d17-5b53e89f58b6
1352,,,,,1085125.11,1085125.11,,2023-11-02T00:00:00.000Z,,192419,05b3521f0d0037c5a6e3470e0f1ba1be513439a0,2023-11-02T04:02:44.321Z,b76f4385-05fe-4b9c-af5b-d137c2b9ba70
1353,,,,,817522.69,49651.86,765362.51,2023-11-02T00:00:00.000Z,,104509,e7a2f3d659c140a767ddd4c2cc7275d63987aad5,2023-11-02T04:02:44.321Z,32e6daee-876a-45c4-a8af-f352290e048a
1354,,,,,185489007.3,152443939.55,33092101.88,2023-11-02T00:00:00.000Z,,28495935,0d986a19fa35518619cdc81e0e84b0631c87f930,2023-11-02T04:02:44.321Z,d3bd03e7-1786-462e-afa9-e9113dcef078
1355,,,,,160002351.14,59324006.19,99573522.52,2023-11-02T00:00:00.000Z,,23968328,bf9d96e83caf9e1024bf5ca7b67009fad0545e9b,2023-11-02T04:02:44.321Z,c375ed1e-9f7b-47fa-8a2b-4c6176be624a
1356,,,,,39711803.79,24308976.34,15313037.01,2023-11-02T00:00:00.000Z,,4438038,28f4a149157472627f956aaa2e8f70c1ebaae6aa,2023-11-02T04:02:44.321Z,385904ee-1cb4-4254-a958-7811cd1c909e
1357,,,,,4294159.44,2918003.52,1386461.64,2023-11-02T00:00:00.000Z,,351225,c0d9e50c7838bebfbeb26a4a1db164365d13e5bb,2023-11-02T04:02:44.321Z,026e4e65-9eb5-4c98-945f-58d897b364f4
1339,,,,,,,,,,896815,2fddd87cac23642be8ba270d84e2bb13c90b58dc,2023-03-18T13:22:12.883Z,9e76bea2-e716-4941-847b-f9bc5f271dbb
1340,,,,,,,,,,311009,298b989ad5d263b01b7d7a983c17a1e3304968f4,2023-03-18T13:22:12.883Z,f125dfb7-2a30-495e-949a-98e7613c4cdd
1341,,,,,,,,,,13056,57f82ef8c8a353f683c9cb30970e35127cb83b8a,2023-03-18T13:22:12.883Z,5169019b-820f-49ff-bd8e-b39f1a40a7d2
1342,,,,,,,,,,1000930,9ad21c6b71c474d559e410575a974b2882e1c26d,2023-03-18T13:22:12.883Z,15c8b080-f629-446d-9924-ba75f45ab04d
1358,,,,,727798.23,9329.08,703570.79,2023-11-02T00:00:00.000Z,,103931,fe46cc0fd64b08e0cfaa54d2ec416ec7d9f2fee0,2023-11-02T04:02:44.321Z,e4e2ef53-1e75-480d-821e-6c1083effd17
1360,,,,,18209539.53,9579191.49,8903962.17,2023-11-02T00:00:00.000Z,,2730274,617109fdae091099f3ccbe7582d3eaf77cba2a8b,2023-11-02T04:02:44.321Z,e80f3d97-3c8f-44a7-9654-e08f046e6b1e
1361,,,,,66734226.22,7138998.7,54761534.37,2023-11-02T00:00:00.000Z,,18838111,5ae4a5ff85c393663e861a9bb171f0d2f43ed388,2023-11-02T04:02:44.321Z,0263612a-4e3b-4a17-be74-83f4f7128121
1362,,,,,4786803.73,4111602.56,675201.17,2023-11-02T00:00:00.000Z,,106606,4342474e40778140962dc296d37442de781684f9,2023-11-02T04:02:44.321Z,4b22d70a-f7ce-41dc-a8b6-f76b012d27e5
5467,,,,,,,,,,0,5ba5da0cfe4cd03942004c04f294bf7492e94587,2023-07-06T23:02:58.335Z,36af7f94-d842-4c4c-bac5-7ab68c57b21b
1346,,,,,,,,,,25581719,de80b569ba429dbe71a53c81c5a075ad13e80223,2023-03-18T13:22:12.883Z,4e321bd0-347b-48ba-970e-9e598d5f9945
5468,,,,,,,,,,0,71c10390f28cbe1cf2bf8fde8c26c5b9c0bb246e,2023-07-06T23:02:58.335Z,076fb178-011d-4c46-997f-6139f3dc96db
1363,,,,,3019659.14,103814.9,2934328.57,2023-11-02T00:00:00.000Z,,431125,1ae866175ec8dd0805f30722a42f2e067415b7f3,2023-11-02T04:02:44.321Z,92eb0fe2-e32c-4873-a8ce-b963ee669dae
1365,,,,,2855252.63,22820.59,2871984.6,2023-11-02T00:00:00.000Z,,417677,59723153fb73a956e51db9548943ea2a59fdb0a3,2023-11-02T04:02:44.321Z,57a8bf69-8f13-43c4-8be5-a2e83770cca7
1366,,,,,2697313.17,912342.82,1767548.6,2023-11-02T00:00:00.000Z,,442317,45fddde1d673af1597971e1bef133086e5040e4a,2023-11-02T04:02:44.321Z,b6a4863b-87b8-48db-9bde-392a29020f35
1367,,,,,8618000.36,3601067.84,4689231.55,2023-11-02T00:00:00.000Z,,1876460,a513d65adf60d7d8a5a76036160f6bd992909e68,2023-11-02T04:02:44.321Z,40e264fb-fbd6-4074-a75d-8619d4551bfb
1368,,,,,5964308.99,2663455.38,3341706.39,2023-11-02T00:00:00.000Z,,521140,4c2d0d016378cec847246cd7f093c94f8d83909b,2023-11-02T04:02:44.321Z,444b225a-4669-48d0-a888-252704ba6f35
1369,,,,,19743137.17,11692409.39,8072012.75,2023-11-02T00:00:00.000Z,,3344251,436a72d27f8b17e3612c5433f20a0237cc6e2cb2,2023-11-02T04:02:44.321Z,24724958-f0f3-4375-90cc-cce76f1fc1e3
1370,,,,,36227572.27,8928827.59,27261029.27,2023-11-02T00:00:00.000Z,,5117141,16380552d3d5aa92c7656f7cdbe4cf859d133ef1,2023-11-02T04:02:44.321Z,50d70b5a-39f1-457a-838e-e3ebc9f6fd8c
1371,,,,,1160382.95,164540.76,988792.94,2023-11-02T00:00:00.000Z,,208923,17ad1b0f4f3c898b30084c8394c4c314622023bf,2023-11-02T04:02:44.321Z,0c79f856-1ed2-4c34-8fe6-627927195d1f
1372,,,,,5147725.26,1542430.72,3033129.15,2023-11-02T00:00:00.000Z,,310644,80b48678949e13a5f8e11227e62e10a2ef4f2261,2023-11-02T04:02:44.321Z,152fde61-1706-4561-9b66-3def41e22d80
1373,,,,,2982075.51,45727.81,2934671.07,2023-11-02T00:00:00.000Z,,415221,67b352deec5bb7ccac6a65eda107f87b3d8b1dcd,2023-11-02T04:02:44.321Z,747c7b30-23a4-426d-805b-e2e79d41d067
1374,,,,,4621871.5,30085.44,4645199.75,2023-11-02T00:00:00.000Z,,492411,b6339fd1cac7d417d7d499575e9060afc10d4c3d,2023-11-02T04:02:44.321Z,dd93db1f-6d98-4dcf-8ab8-c14abfb9bd34
1359,,,,,,,,,,273677,5845eedae8cd1037244b821ebfd414e10528e720,2023-03-18T13:22:12.883Z,d4887a6f-6413-42ac-97e5-59435e2fc568
